year,optimistic_value,optimistic_lower,optimistic_upper,base_value,base_lower,base_upper,pessimistic_value,pessimistic_lower,pessimistic_upper
2025,67.15571428571366,32.900217025193975,47.352969787992066,51.658241758241275,41.125271281492466,59.19121223499008,36.16076923076889,53.46285266594021,76.9485759054871
2026,73.7323809523804,34.5473965123735,49.000149275171594,56.717216117215685,43.18424564046688,61.25018659396449,39.702051282050974,56.139519332606945,79.62524257215384
2027,76.40904761904713,36.19457599955303,50.64732876235112,58.776190476190095,45.24321999944129,63.3091609529389,41.14333333333306,58.81618599927368,82.30190923882057
